YEAR,AGG_LEVEL,CAMPUS,REGION,DISTRICT NAME AND NUMBER,CHARTER_STATUS,CAMPNAME AND NUMBER,SECTION,HEADING,HEADNAME,YR23
2022-2023,CAMPUS SUMMARY,95901101,17,ABERNATHY ISD 095901,TRADITIONAL ISD/CSD,ABERNATHY EL 095901101,A-PARTICIPATION,A01,CAMPUS CUMULATIVE YEAR END ENROLLMENT,427
2022-2023,CAMPUS SUMMARY,95901101,17,ABERNATHY ISD 095901,TRADITIONAL ISD/CSD,ABERNATHY EL 095901101,A-PARTICIPATION,A02,CAMPUS DISCIPLINE POPULATION,-999
2022-2023,CAMPUS SUMMARY,95901101,17,ABERNATHY ISD 095901,TRADITIONAL ISD/CSD,ABERNATHY EL 095901101,A-PARTICIPATION,A03,CAMPUS DISCIPLINE RECORD COUNT,-999
2022-2023,CAMPUS SUMMARY,95901001,17,ABERNATHY ISD 095901,TRADITIONAL ISD/CSD,ABERNATHY H S 095901001,A-PARTICIPATION,A01,CAMPUS CUMULATIVE YEAR END ENROLLMENT,251
2022-2023,CAMPUS SUMMARY,95901001,17,ABERNATHY ISD 095901,TRADITIONAL ISD/CSD,ABERNATHY H S 095901001,A-PARTICIPATION,A02,CAMPUS DISCIPLINE POPULATION,15
2022-2023,CAMPUS SUMMARY,95901001,17,ABERNATHY ISD 095901,TRADITIONAL ISD/CSD,ABERNATHY H S 095901001,A-PARTICIPATION,A03,CAMPUS DISCIPLINE RECORD COUNT,26
2022-2023,CAMPUS SUMMARY,95901041,17,ABERNATHY ISD 095901,TRADITIONAL ISD/CSD,ABERNATHY MIDDLE 095901041,A-PARTICIPATION,A01,CAMPUS CUMULATIVE YEAR END ENROLLMENT,191
2022-2023,CAMPUS SUMMARY,95901041,17,ABERNATHY ISD 095901,TRADITIONAL ISD/CSD,ABERNATHY MIDDLE 095901041,A-PARTICIPATION,A02,CAMPUS DISCIPLINE POPULATION,28
2022-2023,CAMPUS SUMMARY,95901041,17,ABERNATHY ISD 095901,TRADITIONAL ISD/CSD,ABERNATHY MIDDLE 095901041,A-PARTICIPATION,A03,CAMPUS DISCIPLINE RECORD COUNT,56
2022-2023,CAMPUS SUMMARY,221901001,14,ABILENE ISD 221901,TRADITIONAL ISD/CSD,ABILENE H S 221901001,A-PARTICIPATION,A01,CAMPUS CUMULATIVE YEAR END ENROLLMENT,2033
2022-2023,CAMPUS SUMMARY,221901001,14,ABILENE ISD 221901,TRADITIONAL ISD/CSD,ABILENE H S 221901001,A-PARTICIPATION,A02,CAMPUS DISCIPLINE POPULATION,394
2022-2023,CAMPUS SUMMARY,221901001,14,ABILENE ISD 221901,TRADITIONAL ISD/CSD,ABILENE H S 221901001,A-PARTICIPATION,A03,CAMPUS DISCIPLINE RECORD COUNT,1466
2022-2023,CAMPUS SUMMARY,221901010,14,ABILENE ISD 221901,TRADITIONAL ISD/CSD,ACADEMY FOR TECHNOLOGY ENGINEERING MATH & SCIENCE 221901010,A-PARTICIPATION,A01,CAMPUS CUMULATIVE YEAR END ENROLLMENT,370
2022-2023,CAMPUS SUMMARY,221901010,14,ABILENE ISD 221901,TRADITIONAL ISD/CSD,ACADEMY FOR TECHNOLOGY ENGINEERING MATH & SCIENCE 221901010,A-PARTICIPATION,A02,CAMPUS DISCIPLINE POPULATION,-999
2022-2023,CAMPUS SUMMARY,221901010,14,ABILENE ISD 221901,TRADITIONAL ISD/CSD,ACADEMY FOR TECHNOLOGY ENGINEERING MATH & SCIENCE 221901010,A-PARTICIPATION,A03,CAMPUS DISCIPLINE RECORD COUNT,-999
2022-2023,CAMPUS SUMMARY,221901112,14,ABILENE ISD 221901,TRADITIONAL ISD/CSD,ALCORTA EL 221901112,A-PARTICIPATION,A01,CAMPUS CUMULATIVE YEAR END ENROLLMENT,472
2022-2023,CAMPUS SUMMARY,221901112,14,ABILENE ISD 221901,TRADITIONAL ISD/CSD,ALCORTA EL 221901112,A-PARTICIPATION,A02,CAMPUS DISCIPLINE POPULATION,63
2022-2023,CAMPUS SUMMARY,221901112,14,ABILENE ISD 221901,TRADITIONAL ISD/CSD,ALCORTA EL 221901112,A-PARTICIPATION,A03,CAMPUS DISCIPLINE RECORD COUNT,169
2022-2023,CAMPUS SUMMARY,221901102,14,ABILENE ISD 221901,TRADITIONAL ISD/CSD,AUSTIN EL 221901102,A-PARTICIPATION,A01,CAMPUS CUMULATIVE YEAR END ENROLLMENT,755
2022-2023,CAMPUS SUMMARY,221901102,14,ABILENE ISD 221901,TRADITIONAL ISD/CSD,AUSTIN EL 221901102,A-PARTICIPATION,A02,CAMPUS DISCIPLINE POPULATION,43
2022-2023,CAMPUS SUMMARY,221901102,14,ABILENE ISD 221901,TRADITIONAL ISD/CSD,AUSTIN EL 221901102,A-PARTICIPATION,A03,CAMPUS DISCIPLINE RECORD COUNT,124
2022-2023,CAMPUS SUMMARY,221901153,14,ABILENE ISD 221901,TRADITIONAL ISD/CSD,BASSETTI EL 221901153,A-PARTICIPATION,A01,CAMPUS CUMULATIVE YEAR END ENROLLMENT,615
2022-2023,CAMPUS SUMMARY,221901153,14,ABILENE ISD 221901,TRADITIONAL ISD/CSD,BASSETTI EL 221901153,A-PARTICIPATION,A02,CAMPUS DISCIPLINE POPULATION,42
2022-2023,CAMPUS SUMMARY,221901153,14,ABILENE ISD 221901,TRADITIONAL ISD/CSD,BASSETTI EL 221901153,A-PARTICIPATION,A03,CAMPUS DISCIPLINE RECORD COUNT,121
2022-2023,CAMPUS SUMMARY,221901103,14,ABILENE ISD 221901,TRADITIONAL ISD/CSD,BONHAM EL 221901103,A-PARTICIPATION,A01,CAMPUS CUMULATIVE YEAR END ENROLLMENT,515
2022-2023,CAMPUS SUMMARY,221901103,14,ABILENE ISD 221901,TRADITIONAL ISD/CSD,BONHAM EL 221901103,A-PARTICIPATION,A02,CAMPUS DISCIPLINE POPULATION,58
2022-2023,CAMPUS SUMMARY,221901103,14,ABILENE ISD 221901,TRADITIONAL ISD/CSD,BONHAM EL 221901103,A-PARTICIPATION,A03,CAMPUS DISCIPLINE RECORD COUNT,187
2022-2023,CAMPUS SUMMARY,221901104,14,ABILENE ISD 221901,TRADITIONAL ISD/CSD,BOWIE EL 221901104,A-PARTICIPATION,A01,CAMPUS CUMULATIVE YEAR END ENROLLMENT,513
2022-2023,CAMPUS SUMMARY,221901104,14,ABILENE ISD 221901,TRADITIONAL ISD/CSD,BOWIE EL 221901104,A-PARTICIPATION,A02,CAMPUS DISCIPLINE POPULATION,86
2022-2023,CAMPUS SUMMARY,221901104,14,ABILENE ISD 221901,TRADITIONAL ISD/CSD,BOWIE EL 221901104,A-PARTICIPATION,A03,CAMPUS DISCIPLINE RECORD COUNT,269
2022-2023,CAMPUS SUMMARY,221901047,14,ABILENE ISD 221901,TRADITIONAL ISD/CSD,CLACK MIDDLE 221901047,A-PARTICIPATION,A01,CAMPUS CUMULATIVE YEAR END ENROLLMENT,779
2022-2023,CAMPUS SUMMARY,221901047,14,ABILENE ISD 221901,TRADITIONAL ISD/CSD,CLACK MIDDLE 221901047,A-PARTICIPATION,A02,CAMPUS DISCIPLINE POPULATION,241
2022-2023,CAMPUS SUMMARY,221901047,14,ABILENE ISD 221901,TRADITIONAL ISD/CSD,CLACK MIDDLE 221901047,A-PARTICIPATION,A03,CAMPUS DISCIPLINE RECORD COUNT,757
2022-2023,CAMPUS SUMMARY,221901002,14,ABILENE ISD 221901,TRADITIONAL ISD/CSD,COOPER H S 221901002,A-PARTICIPATION,A01,CAMPUS CUMULATIVE YEAR END ENROLLMENT,1777
2022-2023,CAMPUS SUMMARY,221901002,14,ABILENE ISD 221901,TRADITIONAL ISD/CSD,COOPER H S 221901002,A-PARTICIPATION,A02,CAMPUS DISCIPLINE POPULATION,401
2022-2023,CAMPUS SUMMARY,221901002,14,ABILENE ISD 221901,TRADITIONAL ISD/CSD,COOPER H S 221901002,A-PARTICIPATION,A03,CAMPUS DISCIPLINE RECORD COUNT,1157
2022-2023,CAMPUS SUMMARY,221901048,14,ABILENE ISD 221901,TRADITIONAL ISD/CSD,CRAIG MIDDLE 221901048,A-PARTICIPATION,A01,CAMPUS CUMULATIVE YEAR END ENROLLMENT,862
2022-2023,CAMPUS SUMMARY,221901048,14,ABILENE ISD 221901,TRADITIONAL ISD/CSD,CRAIG MIDDLE 221901048,A-PARTICIPATION,A02,CAMPUS DISCIPLINE POPULATION,266
2022-2023,CAMPUS SUMMARY,221901048,14,ABILENE ISD 221901,TRADITIONAL ISD/CSD,CRAIG MIDDLE 221901048,A-PARTICIPATION,A03,CAMPUS DISCIPLINE RECORD COUNT,971
2022-2023,CAMPUS SUMMARY,221901006,14,ABILENE ISD 221901,TRADITIONAL ISD/CSD,DAEP 221901006,A-PARTICIPATION,A02,CAMPUS DISCIPLINE POPULATION,143
2022-2023,CAMPUS SUMMARY,221901006,14,ABILENE ISD 221901,TRADITIONAL ISD/CSD,DAEP 221901006,A-PARTICIPATION,A03,CAMPUS DISCIPLINE RECORD COUNT,221
2022-2023,CAMPUS SUMMARY,221901108,14,ABILENE ISD 221901,TRADITIONAL ISD/CSD,DYESS EL 221901108,A-PARTICIPATION,A01,CAMPUS CUMULATIVE YEAR END ENROLLMENT,674
2022-2023,CAMPUS SUMMARY,221901108,14,ABILENE ISD 221901,TRADITIONAL ISD/CSD,DYESS EL 221901108,A-PARTICIPATION,A02,CAMPUS DISCIPLINE POPULATION,39
2022-2023,CAMPUS SUMMARY,221901108,14,ABILENE ISD 221901,TRADITIONAL ISD/CSD,DYESS EL 221901108,A-PARTICIPATION,A03,CAMPUS DISCIPLINE RECORD COUNT,86
2022-2023,CAMPUS SUMMARY,221901008,14,ABILENE ISD 221901,TRADITIONAL ISD/CSD,JUVENILE DETENTION CENTER 221901008,A-PARTICIPATION,A01,CAMPUS CUMULATIVE YEAR END ENROLLMENT,76
2022-2023,CAMPUS SUMMARY,221901156,14,ABILENE ISD 221901,TRADITIONAL ISD/CSD,LONG EARLY LEARNING CENTER 221901156,A-PARTICIPATION,A01,CAMPUS CUMULATIVE YEAR END ENROLLMENT,913
2022-2023,CAMPUS SUMMARY,221901044,14,ABILENE ISD 221901,TRADITIONAL ISD/CSD,MADISON MIDDLE 221901044,A-PARTICIPATION,A01,CAMPUS CUMULATIVE YEAR END ENROLLMENT,863
2022-2023,CAMPUS SUMMARY,221901044,14,ABILENE ISD 221901,TRADITIONAL ISD/CSD,MADISON MIDDLE 221901044,A-PARTICIPATION,A02,CAMPUS DISCIPLINE POPULATION,322
2022-2023,CAMPUS SUMMARY,221901044,14,ABILENE ISD 221901,TRADITIONAL ISD/CSD,MADISON MIDDLE 221901044,A-PARTICIPATION,A03,CAMPUS DISCIPLINE RECORD COUNT,1089
2022-2023,CAMPUS SUMMARY,221901045,14,ABILENE ISD 221901,TRADITIONAL ISD/CSD,MANN MIDDLE 221901045,A-PARTICIPATION,A01,CAMPUS CUMULATIVE YEAR END ENROLLMENT,923
2022-2023,CAMPUS SUMMARY,221901045,14,ABILENE ISD 221901,TRADITIONAL ISD/CSD,MANN MIDDLE 221901045,A-PARTICIPATION,A02,CAMPUS DISCIPLINE POPULATION,274
2022-2023,CAMPUS SUMMARY,221901045,14,ABILENE ISD 221901,TRADITIONAL ISD/CSD,MANN MIDDLE 221901045,A-PARTICIPATION,A03,CAMPUS DISCIPLINE RECORD COUNT,933
2022-2023,CAMPUS SUMMARY,221901155,14,ABILENE ISD 221901,TRADITIONAL ISD/CSD,MARTINEZ EL 221901155,A-PARTICIPATION,A01,CAMPUS CUMULATIVE YEAR END ENROLLMENT,445
2022-2023,CAMPUS SUMMARY,221901155,14,ABILENE ISD 221901,TRADITIONAL ISD/CSD,MARTINEZ EL 221901155,A-PARTICIPATION,A02,CAMPUS DISCIPLINE POPULATION,74
2022-2023,CAMPUS SUMMARY,221901155,14,ABILENE ISD 221901,TRADITIONAL ISD/CSD,MARTINEZ EL 221901155,A-PARTICIPATION,A03,CAMPUS DISCIPLINE RECORD COUNT,198
2022-2023,CAMPUS SUMMARY,221901142,14,ABILENE ISD 221901,TRADITIONAL ISD/CSD,OCEANS BEHAVIORAL HEALTH 221901142,A-PARTICIPATION,A01,CAMPUS CUMULATIVE YEAR END ENROLLMENT,154
2022-2023,CAMPUS SUMMARY,221901152,14,ABILENE ISD 221901,TRADITIONAL ISD/CSD,ORTIZ EL 221901152,A-PARTICIPATION,A01,CAMPUS CUMULATIVE YEAR END ENROLLMENT,526
2022-2023,CAMPUS SUMMARY,221901152,14,ABILENE ISD 221901,TRADITIONAL ISD/CSD,ORTIZ EL 221901152,A-PARTICIPATION,A02,CAMPUS DISCIPLINE POPULATION,50
2022-2023,CAMPUS SUMMARY,221901152,14,ABILENE ISD 221901,TRADITIONAL ISD/CSD,ORTIZ EL 221901152,A-PARTICIPATION,A03,CAMPUS DISCIPLINE RECORD COUNT,129
2022-2023,CAMPUS SUMMARY,221901113,14,ABILENE ISD 221901,TRADITIONAL ISD/CSD,PURCELL EL 221901113,A-PARTICIPATION,A01,CAMPUS CUMULATIVE YEAR END ENROLLMENT,675
2022-2023,CAMPUS SUMMARY,221901113,14,ABILENE ISD 221901,TRADITIONAL ISD/CSD,PURCELL EL 221901113,A-PARTICIPATION,A02,CAMPUS DISCIPLINE POPULATION,93
2022-2023,CAMPUS SUMMARY,221901113,14,ABILENE ISD 221901,TRADITIONAL ISD/CSD,PURCELL EL 221901113,A-PARTICIPATION,A03,CAMPUS DISCIPLINE RECORD COUNT,242
2022-2023,CAMPUS SUMMARY,221901116,14,ABILENE ISD 221901,TRADITIONAL ISD/CSD,STAFFORD EL 221901116,A-PARTICIPATION,A01,CAMPUS CUMULATIVE YEAR END ENROLLMENT,489
2022-2023,CAMPUS SUMMARY,221901116,14,ABILENE ISD 221901,TRADITIONAL ISD/CSD,STAFFORD EL 221901116,A-PARTICIPATION,A02,CAMPUS DISCIPLINE POPULATION,57
2022-2023,CAMPUS SUMMARY,221901116,14,ABILENE ISD 221901,TRADITIONAL ISD/CSD,STAFFORD EL 221901116,A-PARTICIPATION,A03,CAMPUS DISCIPLINE RECORD COUNT,107
2022-2023,CAMPUS SUMMARY,221901007,14,ABILENE ISD 221901,TRADITIONAL ISD/CSD,TAYLOR COUNTY LEARNING CENTER 221901007,A-PARTICIPATION,A02,CAMPUS DISCIPLINE POPULATION,-999
2022-2023,CAMPUS SUMMARY,221901007,14,ABILENE ISD 221901,TRADITIONAL ISD/CSD,TAYLOR COUNTY LEARNING CENTER 221901007,A-PARTICIPATION,A03,CAMPUS DISCIPLINE RECORD COUNT,-999
2022-2023,CAMPUS SUMMARY,221901121,14,ABILENE ISD 221901,TRADITIONAL ISD/CSD,TAYLOR EL 221901121,A-PARTICIPATION,A01,CAMPUS CUMULATIVE YEAR END ENROLLMENT,707
2022-2023,CAMPUS SUMMARY,221901121,14,ABILENE ISD 221901,TRADITIONAL ISD/CSD,TAYLOR EL 221901121,A-PARTICIPATION,A02,CAMPUS DISCIPLINE POPULATION,45
2022-2023,CAMPUS SUMMARY,221901121,14,ABILENE ISD 221901,TRADITIONAL ISD/CSD,TAYLOR EL 221901121,A-PARTICIPATION,A03,CAMPUS DISCIPLINE RECORD COUNT,88
2022-2023,CAMPUS SUMMARY,221901151,14,ABILENE ISD 221901,TRADITIONAL ISD/CSD,THOMAS EL 221901151,A-PARTICIPATION,A01,CAMPUS CUMULATIVE YEAR END ENROLLMENT,451
2022-2023,CAMPUS SUMMARY,221901151,14,ABILENE ISD 221901,TRADITIONAL ISD/CSD,THOMAS EL 221901151,A-PARTICIPATION,A02,CAMPUS DISCIPLINE POPULATION,46
2022-2023,CAMPUS SUMMARY,221901151,14,ABILENE ISD 221901,TRADITIONAL ISD/CSD,THOMAS EL 221901151,A-PARTICIPATION,A03,CAMPUS DISCIPLINE RECORD COUNT,123
2022-2023,CAMPUS SUMMARY,221901150,14,ABILENE ISD 221901,TRADITIONAL ISD/CSD,WARD EL 221901150,A-PARTICIPATION,A01,CAMPUS CUMULATIVE YEAR END ENROLLMENT,544
2022-2023,CAMPUS SUMMARY,221901150,14,ABILENE ISD 221901,TRADITIONAL ISD/CSD,WARD EL 221901150,A-PARTICIPATION,A02,CAMPUS DISCIPLINE POPULATION,32
2022-2023,CAMPUS SUMMARY,221901150,14,ABILENE ISD 221901,TRADITIONAL ISD/CSD,WARD EL 221901150,A-PARTICIPATION,A03,CAMPUS DISCIPLINE RECORD COUNT,92
2022-2023,CAMPUS SUMMARY,221901003,14,ABILENE ISD 221901,TRADITIONAL ISD/CSD,WOODSON CENTER FOR EXCELLENCE 221901003,A-PARTICIPATION,A01,CAMPUS CUMULATIVE YEAR END ENROLLMENT,417
2022-2023,CAMPUS SUMMARY,221901003,14,ABILENE ISD 221901,TRADITIONAL ISD/CSD,WOODSON CENTER FOR EXCELLENCE 221901003,A-PARTICIPATION,A02,CAMPUS DISCIPLINE POPULATION,40
2022-2023,CAMPUS SUMMARY,221901003,14,ABILENE ISD 221901,TRADITIONAL ISD/CSD,WOODSON CENTER FOR EXCELLENCE 221901003,A-PARTICIPATION,A03,CAMPUS DISCIPLINE RECORD COUNT,118
2022-2023,CAMPUS SUMMARY,57814001,10,ACADEMY FOR ACADEMIC EXCELLENCE 057814,OPEN ENROLLMENT CHARTER,DALLAS COUNTY JUVENILE JUSTICE 057814001,A-PARTICIPATION,A01,CAMPUS CUMULATIVE YEAR END ENROLLMENT,806
2022-2023,CAMPUS SUMMARY,57814002,10,ACADEMY FOR ACADEMIC EXCELLENCE 057814,OPEN ENROLLMENT CHARTER,DRC CAMPUS 057814002,A-PARTICIPATION,A01,CAMPUS CUMULATIVE YEAR END ENROLLMENT,41
2022-2023,CAMPUS SUMMARY,57814005,10,ACADEMY FOR ACADEMIC EXCELLENCE 057814,OPEN ENROLLMENT CHARTER,LETOT CAMPUS 057814005,A-PARTICIPATION,A01,CAMPUS CUMULATIVE YEAR END ENROLLMENT,102
2022-2023,CAMPUS SUMMARY,57814003,10,ACADEMY FOR ACADEMIC EXCELLENCE 057814,OPEN ENROLLMENT CHARTER,MEDLOCK YOUTH VILLAGE 057814003,A-PARTICIPATION,A01,CAMPUS CUMULATIVE YEAR END ENROLLMENT,180
2022-2023,CAMPUS SUMMARY,14901102,12,ACADEMY ISD 014901,TRADITIONAL ISD/CSD,ACADEMY EARLY CHILDHOOD CENTER 014901102,A-PARTICIPATION,A01,CAMPUS CUMULATIVE YEAR END ENROLLMENT,199
2022-2023,CAMPUS SUMMARY,14901102,12,ACADEMY ISD 014901,TRADITIONAL ISD/CSD,ACADEMY EARLY CHILDHOOD CENTER 014901102,A-PARTICIPATION,A02,CAMPUS DISCIPLINE POPULATION,-999
2022-2023,CAMPUS SUMMARY,14901102,12,ACADEMY ISD 014901,TRADITIONAL ISD/CSD,ACADEMY EARLY CHILDHOOD CENTER 014901102,A-PARTICIPATION,A03,CAMPUS DISCIPLINE RECORD COUNT,-999
2022-2023,CAMPUS SUMMARY,14901101,12,ACADEMY ISD 014901,TRADITIONAL ISD/CSD,ACADEMY EL 014901101,A-PARTICIPATION,A01,CAMPUS CUMULATIVE YEAR END ENROLLMENT,738
2022-2023,CAMPUS SUMMARY,14901101,12,ACADEMY ISD 014901,TRADITIONAL ISD/CSD,ACADEMY EL 014901101,A-PARTICIPATION,A02,CAMPUS DISCIPLINE POPULATION,-999
2022-2023,CAMPUS SUMMARY,14901101,12,ACADEMY ISD 014901,TRADITIONAL ISD/CSD,ACADEMY EL 014901101,A-PARTICIPATION,A03,CAMPUS DISCIPLINE RECORD COUNT,-999
2022-2023,CAMPUS SUMMARY,14901001,12,ACADEMY ISD 014901,TRADITIONAL ISD/CSD,ACADEMY H S 014901001,A-PARTICIPATION,A01,CAMPUS CUMULATIVE YEAR END ENROLLMENT,552
2022-2023,CAMPUS SUMMARY,14901001,12,ACADEMY ISD 014901,TRADITIONAL ISD/CSD,ACADEMY H S 014901001,A-PARTICIPATION,A02,CAMPUS DISCIPLINE POPULATION,70
2022-2023,CAMPUS SUMMARY,14901001,12,ACADEMY ISD 014901,TRADITIONAL ISD/CSD,ACADEMY H S 014901001,A-PARTICIPATION,A03,CAMPUS DISCIPLINE RECORD COUNT,155
2022-2023,CAMPUS SUMMARY,14901041,12,ACADEMY ISD 014901,TRADITIONAL ISD/CSD,ACADEMY J H 014901041,A-PARTICIPATION,A01,CAMPUS CUMULATIVE YEAR END ENROLLMENT,446
2022-2023,CAMPUS SUMMARY,14901041,12,ACADEMY ISD 014901,TRADITIONAL ISD/CSD,ACADEMY J H 014901041,A-PARTICIPATION,A02,CAMPUS DISCIPLINE POPULATION,55
2022-2023,CAMPUS SUMMARY,14901041,12,ACADEMY ISD 014901,TRADITIONAL ISD/CSD,ACADEMY J H 014901041,A-PARTICIPATION,A03,CAMPUS DISCIPLINE RECORD COUNT,111
2022-2023,CAMPUS SUMMARY,101810002,4,ACADEMY OF ACCELERATED LEARNING INC 101810,OPEN ENROLLMENT CHARTER,ACADEMY OF ACCELERATED LEARNING 101810002,A-PARTICIPATION,A01,CAMPUS CUMULATIVE YEAR END ENROLLMENT,875
2022-2023,CAMPUS SUMMARY,101810002,4,ACADEMY OF ACCELERATED LEARNING INC 101810,OPEN ENROLLMENT CHARTER,ACADEMY OF ACCELERATED LEARNING 101810002,A-PARTICIPATION,A02,CAMPUS DISCIPLINE POPULATION,24
2022-2023,CAMPUS SUMMARY,101810002,4,ACADEMY OF ACCELERATED LEARNING INC 101810,OPEN ENROLLMENT CHARTER,ACADEMY OF ACCELERATED LEARNING 101810002,A-PARTICIPATION,A03,CAMPUS DISCIPLINE RECORD COUNT,29
2022-2023,CAMPUS SUMMARY,57810101,10,ACADEMY OF DALLAS 057810,OPEN ENROLLMENT CHARTER,ACADEMY OF DALLAS 057810101,A-PARTICIPATION,A01,CAMPUS CUMULATIVE YEAR END ENROLLMENT,383
2022-2023,CAMPUS SUMMARY,57810101,10,ACADEMY OF DALLAS 057810,OPEN ENROLLMENT CHARTER,ACADEMY OF DALLAS 057810101,A-PARTICIPATION,A02,CAMPUS DISCIPLINE POPULATION,-999
2022-2023,CAMPUS SUMMARY,57810101,10,ACADEMY OF DALLAS 057810,OPEN ENROLLMENT CHARTER,ACADEMY OF DALLAS 057810101,A-PARTICIPATION,A03,CAMPUS DISCIPLINE RECORD COUNT,-999
2022-2023,CAMPUS SUMMARY,101849041,4,ACCELERATED INTERMEDIATE ACADEMY 101849,OPEN ENROLLMENT CHARTER,ACCELERATED INT CHARTER SCHOOL 101849041,A-PARTICIPATION,A01,CAMPUS CUMULATIVE YEAR END ENROLLMENT,13
